word,count
sick,868
microphone,867
Tom,864
tot,859
drop,858
bare,856
chat,855
butter,854
share,854
hala,853
drinking,851
waiting,851
thinking,851
wird,851
Tim,850
bent,848
buzz,848
manger,847
din,847
reach,847
carry,846
monster,843
nap,843
clap,841
oda,841
spider,837
reit,837
sweet,834
caterpillar,834
chew,828
cheeky,827
properly,827
underneath,827
climb,826
mona,826
each,825
dustbin,823
upside,823
Alice,823
thanks,822
coat,822
fence,821
Marco,821
without,816
ding,816
dancing,814
eaten,813
butterfly,813
line,810
haste,810
pencil,807
brilliant,806
buttons,804
cooking,804
Bob,803
snap,802
onto,798
middle,797
p,797
kuruma,796
bene,796
Ernie,795
glass,795
throwing,793
Ma,793
dance,793
kangaroo,793
ging,792
machine,791
chose,787
bola,787
Bianca,786
digger,785
square,785
C,782
sticky,782
knew,781
tall,781
recorder,779
Roman,777
days,776
trucks,776
peal,776
holiday,773
alone,772
television,771
barn,767
Tomas,767
seat,766
dam,766
forgot,765
beach,764
Cathy,764
toilet,762
bonito,760
pool,759
fat,758
helicopter,758
dad,758
dogs,757
gentle,757
mala,757
glasses,756
hammer,756
police,756
Joseph,754
livre,754
cover,753
video,753
meat,752
picnic,752
fare,750
strawberry,747
wish,747
noisy,746
sausage,745
flying,745
neck,744
Tobias,744
Mickey,740
someone,739
hao,739
gently,738
mano,737
football,736
corn,735
otherwise,735
sale,734
check,734
picked,734
hospital,734
towel,733
mange,733
loud,732
mirror,731
riding,731
welcome,729
tomato,729
block,728
kon,727
Warren,727
policeman,726
eats,726
mali,726
afternoon,724
taj,724
dire,723
saki,722
stuffed,722
tan,721
works,720
vast,720
super,719
zer,718
Philippe,718
ons,717
via,716
neat,715
cupboard,714
Nathaniel,714
ran,713
interesting,711
medicine,711
anywhere,710
Marie,710
crayon,709
whatever,706
ife,706
tip,704
cal,704
hemen,704
brother,703
anybody,702
closed,702
course,701
passe,701
f,700
tun,700
tidy,699
camera,699
seem,697
easy,696
ad,694
halo,694
thirsty,694
unde,693
Saturday,692
plastic,691
radio,689
mamo,689
ame,684
Catherine,683
uta,682
trouble,681
feeling,679
Bert,679
bump,677
leaves,677
key,676
hoy,675
swim,674
attention,674
writing,674
mad,674
ouch,673
kick,669
ala,669
Friday,667
pat,667
prima,666
juba,665
Steven,665
since,663
ym,663
gros,662
person,661
lying,661
motor,660
Rachel,660
Eve,660
rubbish,659
star,658
Linda,658
tutti,657
potty,656
bilo,656
groot,655
oven,654
Sunday,654
biscuit,654
bod,654
fireman,653
pronto,653
roof,652
sock,652
ladder,651
ambulance,650
Paul,650
jelly,649
Maria,649
cereal,646
taken,643
r,643
lay,641
visit,641
piano,639
point,639
across,638
early,638
tried,638
kana,638
James,636
lap,634
corner,634
taha,634
caught,634
turned,633
fan,633
forget,633
ham,632
tongue,631
umbrella,629
dragon,629
himself,628
bah,627
mare,626
times,625
bal,624
definitely,624
tora,621
yucky,620
late,620
lamb,620
painting,619
lass,617
understand,617
erg,616
street,615
grand,615
tie,615
dump,614
strong,614
cap,611
Bu,609
Sally,607
comb,606
twelve,605
muid,605
everywhere,603
awful,603
moving,602
boot,601
delicious,599
rock,599
bib,599
boots,599
due,599
mane,598
pocket,598
gan,598
paar,598
kai,597
Tigger,596
sina,596
cine,596
triangle,595
porta,594
arriba,592
fork,592
William,592
David,592
plane,591
anna,588
rather,587
splash,587
A,587
lama,584
Monday,584
nobody,584
cone,584
bun,582
problem,581
stove,580
donkey,578
bone,578
pear,576
farmer,575
gate,574
summer,573
washed,573
mar,573
halt,572
carrot,571
backwards,571
hamburger,570
bucket,570
naik,570
teng,569
vol,568
whether,567
tissue,567
eleven,567
upset,566
stir,565
sleepy,565
pelota,563
spill,562
supper,561
Santa,561
chien,561
pone,560
smart,558
penguin,558
till,557
bless,557
quin,556
Dan,556
pillow,555
sok,555
pall,554
grandma,553
rolling,553
wood,553
Abel,553
thirty,552
bell,551
nicely,550
bum,548
turtle,548
coloring,547
cutting,545
board,545
threw,545
stopped,542
Victor,542
dig,542
dae,541
refrigerator,539
kim,539
mora,538
cuddle,535
aeroplane,535
beer,535
pay,533
q,533
lucky,530
waffle,530
soap,528
blowing,528
hie,528
gen,528
hoi,528
mail,527
bounce,524
turning,523
bout,523
bug,523
miss,521
least,521
fixed,521
age,521
ground,520
bicycle,520
suppose,519
biti,518
June,516
space,515
Frank,514
tua,514
Sam,511
leaf,510
whale,510
toll,509
bank,509
scissors,509
rad,508
yuck,507
mat,507
belly,507
sink,507
asta,507
recognize,507
laten,506
knife,505
ancora,505
dale,504
birdie,504
shower,503
pumpkin,503
lax,503
bathtub,503
tight,503
vine,501
Jack,500
trailer,499
pes,499
Mr,498
step,498
ladybird,497
magic,495
Ben,495
yr,495
normally,494
kali,492
hurry,490
puppet,489
believe,488
tal,488
sent,487
fort,486
learn,486
pipi,486
purse,486
pap,485
morgen,484
primero,483
