"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
86,"puslespill","word","toys",0.01,0.02,0.06,0.13,0.15,0.24,0.34,0.44,0.49,0.6,0.69,0.72,0.78,0.75,0.82,0.84,0.91,0.9,0.93,0.93,0.93
87,"spill","word","toys",0.01,0.04,0.04,0.11,0.19,0.2,0.26,0.35,0.4,0.52,0.62,0.61,0.68,0.73,0.77,0.81,0.86,0.87,0.89,0.93,0.89
88,"såpebobler","word","toys",0.02,0.04,0.04,0.07,0.12,0.13,0.2,0.26,0.35,0.46,0.54,0.59,0.61,0.67,0.74,0.75,0.79,0.81,0.84,0.88,0.88
89,"(brød)skive","word","food_drink",0.13,0.17,0.29,0.35,0.46,0.52,0.62,0.72,0.75,0.81,0.86,0.87,0.88,0.9,0.91,0.94,0.94,0.97,0.96,0.98,0.96
90,"agurk","word","food_drink",0.05,0.1,0.12,0.24,0.29,0.38,0.46,0.55,0.57,0.67,0.72,0.77,0.8,0.79,0.85,0.88,0.89,0.92,0.92,0.93,0.89
91,"appelsin","word","food_drink",0.06,0.14,0.2,0.32,0.45,0.5,0.58,0.66,0.71,0.77,0.83,0.87,0.89,0.9,0.91,0.92,0.95,0.96,0.96,0.96,0.95
92,"banan","word","food_drink",0.46,0.51,0.61,0.69,0.78,0.8,0.86,0.89,0.91,0.93,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.96
93,"boller","word","food_drink",0.15,0.23,0.3,0.42,0.51,0.62,0.68,0.76,0.8,0.87,0.87,0.92,0.93,0.92,0.94,0.94,0.96,0.97,0.98,0.98,0.98
94,"bønner","word","food_drink",0,0,0.01,0.01,0.02,0.03,0.05,0.07,0.09,0.12,0.16,0.18,0.21,0.2,0.25,0.25,0.3,0.32,0.27,0.37,0.35
95,"brød","word","food_drink",0.15,0.19,0.25,0.34,0.48,0.48,0.57,0.67,0.7,0.77,0.83,0.86,0.87,0.87,0.93,0.93,0.93,0.96,0.96,0.96,0.96
96,"brus","word","food_drink",0.08,0.12,0.15,0.23,0.36,0.37,0.44,0.55,0.59,0.67,0.69,0.74,0.8,0.81,0.84,0.84,0.87,0.9,0.9,0.92,0.92
97,"cola","word","food_drink",0.01,0.01,0.04,0.07,0.11,0.1,0.15,0.19,0.25,0.28,0.37,0.39,0.46,0.48,0.55,0.55,0.61,0.68,0.65,0.74,0.68
98,"corn flakes","word","food_drink",0,0.01,0,0.02,0.02,0.02,0.07,0.09,0.12,0.17,0.22,0.26,0.28,0.28,0.35,0.36,0.41,0.41,0.49,0.46,0.51
99,"dessert","word","food_drink",0,0.02,0.04,0.08,0.06,0.13,0.17,0.24,0.29,0.36,0.43,0.46,0.56,0.56,0.63,0.66,0.71,0.71,0.73,0.78,0.77
100,"drikke (beverage)","word","food_drink",0.18,0.28,0.37,0.48,0.59,0.63,0.71,0.79,0.82,0.83,0.89,0.91,0.92,0.93,0.94,0.92,0.96,0.97,0.97,0.98,0.96
101,"druer","word","food_drink",0.1,0.22,0.26,0.38,0.44,0.51,0.61,0.7,0.71,0.78,0.82,0.87,0.86,0.88,0.9,0.91,0.94,0.95,0.95,0.96,0.96
102,"egg","word","food_drink",0.09,0.2,0.24,0.36,0.48,0.54,0.66,0.7,0.74,0.83,0.88,0.89,0.92,0.93,0.95,0.95,0.96,0.96,0.97,0.98,0.96
103,"eple","word","food_drink",0.21,0.35,0.48,0.58,0.64,0.72,0.77,0.82,0.87,0.91,0.9,0.95,0.95,0.96,0.96,0.96,0.98,0.98,0.98,0.98,0.96
104,"erter","word","food_drink",0.02,0.03,0.06,0.08,0.09,0.15,0.19,0.23,0.29,0.37,0.42,0.45,0.48,0.5,0.61,0.6,0.62,0.63,0.64,0.7,0.64
105,"fisk (food)","word","food_drink",0.1,0.17,0.28,0.37,0.49,0.57,0.68,0.73,0.78,0.84,0.88,0.91,0.91,0.91,0.94,0.94,0.96,0.97,0.96,0.98,0.96
106,"frokostblanding","word","food_drink",0,0,0.01,0.01,0.03,0.03,0.05,0.07,0.09,0.15,0.18,0.2,0.23,0.22,0.28,0.29,0.31,0.38,0.39,0.37,0.46
107,"frukt","word","food_drink",0.01,0.05,0.08,0.15,0.19,0.22,0.3,0.44,0.45,0.54,0.64,0.67,0.74,0.75,0.79,0.82,0.85,0.87,0.92,0.92,0.91
108,"godteri","word","food_drink",0.02,0.04,0.06,0.13,0.2,0.22,0.27,0.35,0.42,0.53,0.6,0.63,0.73,0.73,0.81,0.82,0.87,0.89,0.92,0.91,0.93
109,"grøt","word","food_drink",0.1,0.15,0.23,0.26,0.4,0.42,0.52,0.59,0.63,0.73,0.77,0.81,0.86,0.87,0.89,0.92,0.93,0.93,0.95,0.96,0.96
110,"gulrot","word","food_drink",0.03,0.07,0.11,0.21,0.27,0.35,0.45,0.55,0.58,0.69,0.76,0.79,0.82,0.85,0.88,0.91,0.93,0.94,0.93,0.95,0.94
